,INSTNM,WEBADDR,DISAURL
20,GateWay Community College,"An error occurred while accessing sitemap of http://www.gatewaycc.edu is not a valid website/sitemap.xml: HTTPConnectionPool(host='www.gatewaycc.edu%20is%20not%20a%20valid%20website', port=80): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x108ddb570>: Failed to resolve 'www.gatewaycc.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of http://www.gatewaycc.edu/disability-resources is not a valid website/sitemap.xml: 403 Client Error: Forbidden for url: http://www.gatewaycc.edu/disability-resources%20is%20not%20a%20valid%20website/sitemap.xml
21,Dine College,https://www.dinecollege.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.dinecollege.edu/admissions/student-services is not a valid website./sitemap.xml: 404 Client Error: Not Found for url: https://www.dinecollege.edu/admissions/student-services%20is%20not%20a%20valid%20website./sitemap.xml
22,Northern Arizona University,https://nau.edu/sitemap.xml,"An error occurred while validating https://in.nau.edu/disability-resources: HTTPConnectionPool(host='in.nau.edu', port=80): Max retries exceeded with url: /disability-resources/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x108ddb570>, 'Connection to in.nau.edu timed out. (connect timeout=10)'))"
23,Rio Salado College,"An error occurred while validating https://www.rio.maricopa.edu: HTTPSConnectionPool(host='www.rio.maricopa.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.rio.maricopa.edu'. (_ssl.c:1032)"")))",An error occurred while accessing sitemap of https://www.riosalado.edu/student-resources/disability-services/sitemap.xml: 404 Client Error: Not Found for url: https://www.riosalado.edu/student-resources/disability-services/sitemap.xml
24,Yavapai College,https://www.yc.edu/sitemap.xml,https://www.yc.edu/v6/disability-resources/sitemap.xml
25,University of Arkansas at Little Rock,An error occurred while accessing sitemap of http://ualr.edu/www is not a valid website/sitemap.xml: 403 Client Error: Forbidden for url: http://ualr.edu/www%20is%20not%20a%20valid%20website/sitemap.xml,An error occurred while accessing sitemap of http://ualr.edu/disability is not a valid website/sitemap.xml: 403 Client Error: Forbidden for url: http://ualr.edu/disability%20is%20not%20a%20valid%20website/sitemap.xml
26,University of Arkansas for Medical Sciences,An error occurred while accessing sitemap of https://www.uams.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.uams.edu/sitemap.xml,An error occurred while accessing sitemap of https://students.uams.edu/ada-disability-services/sitemap.xml: 404 Client Error: Not Found for url: https://students.uams.edu/resources/ada-disability-services/sitemap.xml
27,University of Arkansas,https://www.uark.edu/sitemap.xml,https://cea.uark.edu/sitemap.xml
28,University of Arkansas at Pine Bluff,https://www.uapb.edu/sitemap.xml,An error occurred while accessing sitemap of http://www.uapb.edu/administration/student_affairs/disability_services.aspx is not a valid website/sitemap.xml: 404 Client Error: Not Found for url: https://uapb.edu/administration/student_affairs/disability_services.aspx%20is%20not%20a%20valid%20website/sitemap.xml
29,Arkansas State University,An error occurred while accessing sitemap of https://www.astate.edu/sitemap.xml: 404 Client Error:  for url: https://www.astate.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.astate.edu/disability/sitemap.xml: 404 Client Error:  for url: https://www.astate.edu/disability/sitemap.xml
30,Arkansas Tech University,https://www.atu.edu/sitemap.xml,https://www.atu.edu/disabilities/index.php/sitemap.xml
31,University of Arkansas at Monticello,https://www.uamont.edu/sitemap.xml,https://www.uamont.edu/admissions/sss/index.html/sitemap.xml
32,University of Central Arkansas,An error occurred while accessing sitemap of https://www.uca.edu/sitemap.xml: 404 Client Error: Not Found for url: https://uca.edu/sitemap.xml,An error occurred while accessing sitemap of https://uca.edu/disability/sitemap.xml: 404 Client Error: Not Found for url: https://uca.edu/oars/sitemap.xml
33,Henderson State University,https://www.hsu.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/trio-programs/disability-resource-center/sitemap.xml: 404 Client Error: Not Found for url: https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/trio-programs/disability-resource-center/sitemap.xml
34,Southern Arkansas University Main Campus,https://www.saumag.edu/sitemap.xml,An error occurred while accessing sitemap of https://web.saumag.edu/testing/disability-support-services/sitemap.xml: 404 Client Error: Not Found for url: https://web.saumag.edu/testing/disability-support-services/sitemap.xml
35,University of Arkansas-Fort Smith,https://uafs.edu/sitemap.xml,https://uafs.edu/academics/academic-resources/ada/index.php/sitemap.xml
36,Antelope Valley Community College District,An error occurred while accessing sitemap of https://www.avc.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.avc.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.avc.edu/studentservices/osd/sitemap.xml: 404 Client Error: Not Found for url: https://www.avc.edu/studentservices/osd/sitemap.xml
37,Bakersfield College,https://www.bakersfieldcollege.edu/sitemap.xml,https://www.bakersfieldcollege.edu/services-and-resources/dsps/index.html/sitemap.xml
38,University of California College of the Law-San Francisco,https://www.uclawsf.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.uclawsf.edu/academics/academic-success/disability-resource-program/sitemap.xml: 404 Client Error: Not Found for url: https://www.uclawsf.edu/academics/academic-success/disability-resource-program/sitemap.xml
39,California Polytechnic State University-San Luis Obispo,https://calpoly.edu/sitemap.xml,"An error occurred while validating https://www.drc.calpoly.edu: HTTPSConnectionPool(host='www.drc.calpoly.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.drc.calpoly.edu'. (_ssl.c:1032)"")))"
40,California State University-Bakersfield,An error occurred while accessing sitemap of https://www.csub.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.csub.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.csub.edu/ssd/sitemap.xml: 404 Client Error: Not Found for url: https://www.csub.edu/ssd/sitemap.xml
41,California State University-Stanislaus,An error occurred while accessing sitemap of https://www.csustan.edu/sitemap.xml: 404 Client Error: Unknown site for url: https://www.csustan.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.csustan.edu/disability-resource-services/sitemap.xml: 404 Client Error: Unknown site for url: https://www.csustan.edu/disability-resource-services/sitemap.xml
42,California State University-San Bernardino,https://www.csusb.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.csusb.edu/ssd/sitemap.xml: 404 Client Error: Not Found for url: https://www.csusb.edu/ssd/sitemap.xml
43,California State Polytechnic University-Pomona,https://www.cpp.edu/sitemap.xml,https://www.cpp.edu/~drc/sitemap.xml
44,California State University-Chico,https://www.csuchico.edu/sitemap.xml,https://www.csuchico.edu/dss/sitemap.xml
45,California State University-Dominguez Hills,An error occurred while accessing sitemap of https://www.csudh.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.csudh.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.csudh.edu/sdrc/sitemap.xml: 404 Client Error: Not Found for url: https://www.csudh.edu/sdrc/sitemap.xml
46,California State University-Fresno,https://www.fresnostate.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.fresnostate.edu/ssd/sitemap.xml: 404 Client Error: Not Found for url: https://studentaffairs.fresnostate.edu/ssd/sitemap.xml
47,California State University-Fullerton,https://www.fullerton.edu/sitemap.xml,https://www.fullerton.edu/dss/sitemap.xml
48,California State University-East Bay,https://www.csueastbay.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.csueastbay.edu/accessibility/sitemap.xml: 404 Client Error: Not Found for url: https://www.csueastbay.edu/accessibility/sitemap.xml
49,California State University-Long Beach,https://www.csulb.edu/sitemap.xml,An error occurred while accessing sitemap of https://web.csulb.edu/divisions/students/dss/sitemap.xml: 404 Client Error: Not Found for url: https://www.csulb.edu/student-affairs/bob-murphy-access-center/sitemap.xml
50,California State University-Los Angeles,An error occurred while accessing sitemap of https://www.calstatela.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.calstatela.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.calstatela.edu/osd/sitemap.xml: 404 Client Error: Not Found for url: https://www.calstatela.edu/osd/sitemap.xml
51,California State University-Northridge,https://www.csun.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.csun.edu/dres/sitemap.xml: 404 Client Error: Not Found for url: https://www.csun.edu/dres/sitemap.xml
